"","lat_fit","lon_fit","ele_fit","dist","Date","Point","Flux_ave","CO2_ppm_ave","adjusted_ppm","AirTemp_c","Total_hPa","VaisalaType","EOS_no"
"1",-0.34885841087091,-78.1992704924659,3896.04295822699,1239.16220060363,"2021-07-06",1,1.345,684.076923076923,1022.63297484683,6.855,626.7694,"old","EOS_2"
"2",-0.34878441087091,-78.1993377098351,3896.43609286239,1228.01205314006,"2021-07-06",1,2.675,863.667692307692,958.538047270154,6.855,626.7694,"new","EOS_1"
"3",-0.34831041087091,-78.1995662922713,3897.53756891651,1167.7587455166,"2021-07-06",2,1.06,882.292307692308,979.244233132308,6.853,626.7424,"new","EOS_1"
"4",-0.34792341087091,-78.1996715177817,3897.82126258476,1121.91676242267,"2021-07-06",2,2.15,660.615384615385,987.154272881421,6.852,626.8684,"old","EOS_2"
"5",-0.34753541087091,-78.1997660573963,3898.47615510664,1075.16616505864,"2021-07-06",3,1.005,830.364615384615,921.452209197385,6.849,626.8694,"new","EOS_1"
"6",-0.34723441087091,-78.1997367531586,3898.874272006,1040.97986106831,"2021-07-06",3,1.485,738.846153846154,1103.59784720092,6.847,626.9664,"old","EOS_2"
"7",-0.34692441087091,-78.1997504443995,3898.97862560162,1006.39548799225,"2021-07-06",4,0.22,765.329404761905,849.223247919944,6.84792857142857,626.921364285714,"new","EOS_1"
"8",-0.34654141087091,-78.1999361412999,3898.68406873958,958.677422082579,"2021-07-07",7,0.44,837,1257.75926033966,6.888,625.6324,"old","EOS_2"
"9",-0.34652341087091,-78.1999434449425,3898.66951857426,956.514751753161,"2021-07-07",4,0.08,894.692307692308,1345.38800345177,6.903,625.7264,"old","EOS_2"
"10",-0.34634641087091,-78.1999651838067,3898.65308371071,936.470461095022,"2021-07-07",5,0.135,556.384615384615,836.604694635825,6.899,625.6314,"old","EOS_2"
"11",-0.34614041087091,-78.1999375124638,3899.54145770757,913.323782913078,"2021-07-07",1,1.81,737.144615384615,819.375234950154,6.899,625.6314,"new","EOS_1"
"12",-0.34587041087091,-78.1998654350084,3903.10445292407,881.856259009587,"2021-07-07",2,0.785,687.444615384615,764.108370147846,6.897,625.6534,"new","EOS_1"
"13",-0.34568541087091,-78.1997353970493,3906.54152373943,856.65369410166,"2021-07-07",3,0,678.692307692308,754.371235184024,6.89069230769231,625.662015384615,"new","EOS_1"
"14",-0.34522441087091,-78.1995386135797,3911.96212482976,796.271487346849,"2021-07-07",6,0.33,828.538461538462,1245.17563000815,6.893,625.6874,"old","EOS_2"
"15",-0.34455641087091,-78.1985172466292,3922.74522901114,656.20297326196,"2021-07-07",8,4.315,877.769230769231,1318.54717449033,6.882,625.6834,"old","EOS_2"
"16",-0.34432341087091,-78.1981883861436,3923.84547591724,611.138713038726,"2021-07-07",9,1.23,892.384615384615,1340.15226879564,6.881,625.6254,"old","EOS_2"
"17",-0.34410441087091,-78.1982171522695,3924.62874842142,583.843789217493,"2021-07-07",5,1.185,1181.89076923077,1313.90784996477,6.879,625.5334,"new","EOS_1"
"18",-0.34388841087091,-78.1982649124506,3925.46627859415,557.536252739161,"2021-07-07",10,1.95,811.615384615385,1218.52867469684,6.877,625.5754,"old","EOS_2"
"19",-0.34365941087091,-78.1980766818822,3926.43038708341,524.388945669165,"2021-07-07",6,2.105,917.372307692308,1019.78490826892,6.877,625.5754,"new","EOS_1"
"20",-0.34341341087091,-78.1979178020744,3927.7509967387,491.707634726094,"2021-07-07",11,2.31,833.153846153846,1250.42305593857,6.875,625.6154,"old","EOS_2"
"21",-0.34297441087091,-78.1977329125162,3928.95294745844,435.889125181008,"2021-07-07",7,2.08,1245.80615384615,1384.80934249323,6.875,625.6154,"new","EOS_1"
"22",-0.34297241087091,-78.1977333953729,3928.95429810306,435.660018729455,"2021-07-07",8,0.485,949.450769230769,1055.13688776108,6.872,625.7914,"new","EOS_1"
"23",-0.34262441087091,-78.197839632597,3929.11167419684,394.319965212774,"2021-07-07",12,2.45,848.538461538462,1273.36910302487,6.873,625.5694,"old","EOS_2"
"24",-0.34213841087091,-78.1986063168689,3930.65671359258,292.739998635331,"2021-07-07",13,0.625,674.461538461538,1011.3115502856,6.872,625.9294,"old","EOS_2"
"25",-0.34193741087091,-78.1988015779547,3931.96288523473,261.49421547805,"2021-07-07",9,1.73,654.826153846154,727.452529673538,6.872,626.0604,"new","EOS_1"
"26",-0.34177941087091,-78.198796923304,3933.00589063881,242.467874425752,"2021-07-09",3,0.505,NA,NA,NA,NA,NA,"EOS_1"
"27",-0.34154241087091,-78.1986809382096,3935.41387616073,210.794144328536,"2021-07-07",14,2.47,561,840.945728781207,6.872,626.0604,"old","EOS_2"
"28",-0.34144541087091,-78.1987901636417,3936.74887403175,194.414929764754,"2021-07-09",3,0.075,509.461538461538,761.821645090177,6.925,626.2944,"old","EOS_2"
"29",-0.34115841087091,-78.199079569745,3941.01212098521,147.593397535143,"2021-07-09",2,1.25,NA,NA,NA,NA,NA,"EOS_1"
"30",-0.34080441087091,-78.1993410567281,3944.564630165,96.6916131427065,"2021-07-09",2,0.16,591,883.898380067138,6.927,626.2844,"old","EOS_2"
"31",-0.34051641087091,-78.1995784558253,3946.83013666618,53.1652721818275,"2021-07-09",1,0.175,NA,NA,NA,NA,NA,"EOS_1"
"32",-0.34008641087091,-78.1995118653253,3948.6402133613,2.77459916355065,"2021-07-09",1,-0.665,468.692307692308,701.356737021668,6.932,626.0484,"old","EOS_2"
